Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
REGN,Regeneron Pharmaceuticals,464.75,20.18,4.54%,445,465.51,445,1713200,03/02/2020
REZI,Resideo Technologies Inc,10.18,-0.57,-5.30%,10.87,10.88,10,2440900,03/02/2020
RF,Regions Financial Corp,14.51,0.99,7.32%,13.55,14.53,13.4,23705400,03/02/2020
RGA,Reinsurance Group of America Inc,129.97,7.94,6.51%,122.47,130.43,122.39,1081900,03/02/2020
RGLD,Royal Gold Inc,100.05,3.58,3.71%,97.28,100.68,96.57,852000,03/02/2020
RHI,Robert Half International Inc,51.07,0.66,1.31%,50.71,51.07,49.06,1438800,03/02/2020
RIG,Transocean Inc,3.55,0.2,5.97%,3.41,3.55,3.15,26755199,03/02/2020
RJF,Raymond James Financial,87.14,3.51,4.20%,84.17,87.18,82.58,1709500,03/02/2020
RL,Ralph Lauren Corp,107.61,2.1,1.99%,105.71,107.61,103.96,1555500,03/02/2020
RMD,Resmed Inc,168.75,9.79,6.16%,160.5,168.91,160.05,1258800,03/02/2020
RNG,Ringcentral Inc,239.89,4.14,1.76%,237.63,240.56,228.8,1644500,03/02/2020
RNR,Renaissancere Holdings Ltd,181.67,11.27,6.61%,170.84,182.02,170.84,499800,03/02/2020
ROK,Rockwell Automation Inc,190.59,7.09,3.86%,184.67,191.07,183.28,1649700,03/02/2020
ROKU,Roku Inc,114.67,1,0.88%,115.49,116.16,111.33,9298100,03/02/2020
ROL,Rollins Inc,39.11,1.67,4.46%,37.54,39.18,36.94,2190700,03/02/2020
ROP,Roper Industries,361.02,9.32,2.65%,354.09,361.66,346.96,781400,03/02/2020
ROST,Ross Stores Inc,111.98,3.2,2.94%,109.22,112,105.95,3138000,03/02/2020
RP,Realpage Inc,62.18,-1.92,-3.00%,64.54,64.82,60.16,1243800,03/02/2020
RPAI,Retail Properties of America,10.69,0.22,2.10%,10.56,10.72,10.2,2730700,03/02/2020
RPM,RPM International Inc,66.02,1.91,2.98%,64.38,66.07,63.22,930600,03/02/2020
RRC,Range Resources Corp,2.63,-0.14,-5.05%,2.82,2.84,2.57,12560300,03/02/2020
RS,Reliance Steel & Aluminum Company,105.77,3.48,3.40%,102.83,105.9,101.38,1159700,03/02/2020
RSG,Republic Services,94.08,3.82,4.23%,90.9,94.29,90.39,1857300,03/02/2020
RTN,Raytheon Company,192.46,3.9,2.07%,189.41,193.71,184,3744100,03/02/2020
RYN,Rayonier Inc REIT,27,0.47,1.77%,26.62,27.24,26.3,1050000,03/02/2020
S,Sprint Corp,9.52,0.33,3.59%,9.17,9.52,9.03,25690299,03/02/2020
SABR,Sabre Corp,13.42,-0.19,-1.43%,13.86,13.86,13.05,6238900,03/02/2020
SAGE,Sage Therapeutic Com,53.36,6.36,13.53%,49.6,53.39,47.7,2052200,03/02/2020
SATS,Echostar Corp,35.3,0.38,1.09%,35.44,35.45,33.88,1070900,03/02/2020
SBAC,SBA Communications,285.05,19.96,7.53%,266.95,285.2,265.95,1231400,03/02/2020
SBGI,Sinclair Brdcst A,23.54,0.33,1.42%,23.25,23.58,22.23,2753500,03/02/2020
SBNY,Signature Bank,131.55,6.45,5.16%,125.01,131.88,125.01,560400,03/02/2020
SBUX,Starbucks Corp,82.38,3.95,5.04%,77.92,82.41,77.66,14258600,03/02/2020
SC,Santander Consumer USA Holdings,24.05,-0.35,-1.43%,24.32,24.48,23.44,3080800,03/02/2020
SCCO,Southern Peru Copper Corp,35.15,1.5,4.46%,33.95,35.25,33.25,1266800,03/02/2020
SCHW,The Charles Schwab Corp,41.98,1.23,3.02%,40.9,42.05,39.57,21834199,03/02/2020
SCI,Service Corp International,50.43,2.64,5.52%,48.05,50.46,47.47,1479400,03/02/2020
SEB,Seaboard Corp,3537.54,122.54,3.59%,3491,3600,3403.95,900,03/02/2020
SEE,Sealed Air Corp,31.44,1.13,3.73%,30.37,31.52,29.69,2544600,03/02/2020
SEIC,Sei Investments Company,57.29,2.58,4.72%,54.94,57.34,54,1258500,03/02/2020
SERV,Servicemaster Global Holdings,37.89,2.12,5.93%,35.95,37.99,35.24,2406900,03/02/2020
SFM,Sprouts Farmers Mark,16.62,0.64,4.01%,16.15,16.64,15.86,2517500,03/02/2020
SGEN,Seattle Genetics Inc,111.88,-1.98,-1.74%,108.17,111.96,102.03,3334100,03/02/2020
SHW,Sherwin-Williams Company,538.32,21.57,4.17%,522.02,538.32,513.02,840300,03/02/2020
SIRI,Sirius XM Holdings,6.55,0.21,3.31%,6.28,6.55,6.26,37938602,03/02/2020
SITC,Site Centers Corp,11.85,0.34,2.95%,11.56,11.89,11.27,1877200,03/02/2020
SIVB,Svb Financial Group,216.75,8.59,4.13%,209.56,216.89,202.14,661100,03/02/2020
SIX,Six Flags Entertainment Corp,25.14,-0.14,-0.55%,25.31,25.31,23.51,3846000,03/02/2020
SJM,J.M. Smucker Company,106.74,3.75,3.64%,103.5,106.77,103.02,1046400,03/02/2020
SKX,Skechers U.S.A.,33.83,0.75,2.27%,33.18,33.85,32.46,2877700,03/02/2020
SLB,Schlumberger N.V.,27.79,0.7,2.58%,27.65,27.79,26.17,23253000,03/02/2020
SLG,SL Green Realty Corp,81.37,2.93,3.74%,78.91,81.68,77.08,1031400,03/02/2020
SLGN,Silgan Holdings,30.36,1.73,6.04%,28.74,30.36,28.63,622200,03/02/2020
SLM,SLM Corp,10.96,0.59,5.69%,10.5,10.98,10.23,5134300,03/02/2020
SMAR,Smartsheet Inc Cl A,47.18,0.88,1.90%,46.67,47.31,45.46,907200,03/02/2020
SMG,Scotts Miracle-Gro Company,114.85,8.86,8.36%,106.74,114.96,106.05,728700,03/02/2020
SNA,Snap-On Inc,148.71,3.96,2.74%,145.7,148.71,142.91,653400,03/02/2020
SNDR,Schneider National Inc,18.32,0.41,2.29%,18.04,18.33,17.63,503000,03/02/2020
SNPS,Synopsys Inc,141.63,3.7,2.68%,137.96,141.73,135.41,1692700,03/02/2020
SNV,Synovus Financial Corp,30.06,1.04,3.58%,29.07,30.1,28.29,2735000,03/02/2020
SNX,Synnex Corp,129.81,4.78,3.82%,126.52,129.92,123.21,465400,03/02/2020
SO,Southern Company,63.93,3.57,5.91%,60.66,64.15,60.27,7744600,03/02/2020
SON,Sonoco Products Company,50.7,2.49,5.16%,48.57,50.8,47.61,1114200,03/02/2020
SPB,Spectrum Brands Holdings Inc,57.71,3.82,7.09%,53.78,57.79,53.24,596700,03/02/2020
SPG,Simon Property Group,127.22,4.14,3.36%,123.45,127.33,120.35,3437900,03/02/2020
SPGI,S&P Global Inc,289.31,23.4,8.80%,271.05,291.27,269.22,3140700,03/02/2020
SPLK,Splunk Inc,152.02,4.69,3.18%,151.05,152.2,145.95,2175500,03/02/2020
SPOT,Spotify Technology S.A.,139.34,2.22,1.62%,137.98,139.79,134.61,1001800,03/02/2020
SPR,Spirit Aerosystems Holdings,52.98,0.14,0.26%,53.1,53.41,49.81,2794100,03/02/2020
SQ,Square,80.67,-2.66,-3.19%,82.8,84.42,79.57,17799900,03/02/2020
SRC,Spirit Realty Capital Inc,47.17,1.67,3.67%,45.82,47.27,44.63,1165000,03/02/2020
SRCL,Stericycle Inc,63.6,6.17,10.74%,57.21,63.7,56.78,1201400,03/02/2020
SRE,Sempra Energy,142.23,2.45,1.75%,140.46,143.7,139.17,3323600,03/02/2020
SRPT,Sarepta Therapeutics,119.86,5.39,4.71%,115.57,120.14,111.27,1049800,03/02/2020
SSNC,SS&C Technologies,57.63,2.13,3.84%,56.11,57.64,55,2112900,03/02/2020
ST,Sensata Technologies Holding N.V.,41.19,0.39,0.96%,41,41.32,39.98,1700100,03/02/2020
STAY,Extended Stay America Inc,11.22,0.24,2.19%,11.11,11.23,10.62,2155900,03/02/2020
STE,Steris Corp,163.4,4.78,3.01%,159.05,163.4,156.09,1089600,03/02/2020
STL,Sterling Bancorp,17.7,1.12,6.76%,16.79,17.7,16.58,2628500,03/02/2020
STLD,Steel Dynamics Inc,27.29,0.66,2.48%,26.61,27.3,25.78,4749500,03/02/2020
STOR,Store Capital Corpstore Capital,33.75,0.89,2.71%,33.05,33.85,32.33,2016600,03/02/2020
STT,State Street Corp,68.69,0.58,0.85%,67.96,68.84,65.6,4156900,03/02/2020
STWD,Starwood Property Trust,23.57,1.39,6.27%,22.28,23.67,22.27,3608100,03/02/2020
STZ,Constellation Brands Inc,177.22,4.84,2.81%,173.25,177.22,169.27,2010400,03/02/2020
SUI,Sun Communities,160.18,7.3,4.77%,154.06,160.32,153.84,622600,03/02/2020
SVC,Service Properties Trust,18.18,0.1,0.55%,17.77,18.3,17.08,3113600,03/02/2020
SWCH,Switch Inc,14.95,0.61,4.25%,14.59,15.06,14.03,2221300,03/02/2020
SWI,Solarwinds Corp,18.48,0.26,1.43%,18.26,18.97,18.07,1141300,03/02/2020
SWK,Stanley Black & Decker Inc,142.42,-1.28,-0.89%,143.87,143.93,137.09,2475900,03/02/2020
SWKS,Skyworks Solutions,104.27,4.09,4.08%,101.29,104.33,98.75,2899600,03/02/2020
SYF,Synchrony Financial,30.39,1.29,4.43%,29.28,30.4,29.15,10614500,03/02/2020
SYK,Stryker Corp,197.22,6.63,3.48%,192.44,197.25,190.57,2504000,03/02/2020
SYY,Sysco Corp,69.68,3.03,4.55%,67.11,69.89,67.02,5054900,03/02/2020
T,AT&T Inc,37.18,1.96,5.57%,35.37,37.42,35.29,68432703,03/02/2020
TAP,Molson Coors Brewing Company,51.48,1.87,3.77%,49.61,51.48,49.35,2477200,03/02/2020
TCBI,Texas Capital Bncsh,48.75,1.67,3.55%,46.97,48.78,46.21,466600,03/02/2020
TCF,TCF Financial Corp,37.88,1.44,3.95%,36.88,37.94,35.92,1552300,03/02/2020
TCO,Taubman Centers,52.56,0.5,0.96%,52.2,52.83,52.12,4955400,03/02/2020
TDC,Teradata Corp,20.87,0.93,4.66%,20.12,20.89,19.61,1510500,03/02/2020
TDG,Transdigm Group Inc,568.46,10.65,1.91%,559.7,571.4,546.36,527900,03/02/2020
TDS,Telephone and Data Systems,20.81,0.67,3.33%,20.33,20.84,19.5,1077100,03/02/2020
TDY,Teledyne Technologies Inc,345.9,8.58,2.54%,337.32,346.95,331.33,300200,03/02/2020
TEAM,Atlassian Cls A Ord,146.82,1.86,1.28%,147.57,149.83,142.53,2051400,03/02/2020
TECH,Bio-Techne Cp,197.64,8.75,4.63%,190.21,198.37,188.98,216300,03/02/2020
TER,Teradyne Inc,60.49,1.73,2.94%,59.41,60.68,57.58,2780200,03/02/2020
TFC,Truist Financial Corp.,48.81,2.67,5.79%,48.14,48.82,45.61,8156600,03/02/2020
TFSL,Tfs Financial Corp,21.65,1.2,5.90%,20.71,21.76,20.47,416000,03/02/2020
TFX,Teleflex Inc,353.61,18.59,5.55%,335.01,354.3,334.27,403300,03/02/2020
TGT,Target Corp,109.06,6.06,5.88%,103.38,109.44,102.95,9691000,03/02/2020
THG,The Hanover Insurance Group,124.46,5.92,4.99%,118.75,124.58,118.07,388800,03/02/2020
THO,Thor Industries,77.55,2.14,2.84%,75.78,77.62,71.89,986300,03/02/2020
THS,Treehouse Foods,40.6,2.49,6.53%,38.71,40.63,38.71,752200,03/02/2020
TIF,Tiffany & Company,133.67,0.08,0.06%,133.6,133.83,133.22,4772600,03/02/2020
TJX,TJX Companies,62.19,2.39,4.00%,60.22,62.32,59.37,10155000,03/02/2020
TKR,Timken Company,45.31,0.47,1.05%,45.28,45.32,43.91,1283800,03/02/2020
TMO,Thermo Fisher Scientific Inc,304.96,14.16,4.87%,291.03,304.96,288.86,2740900,03/02/2020
TMUS,T-Mobile US,93.29,3.13,3.47%,90.28,93.36,88.98,5160500,03/02/2020
TOL,Toll Brothers Inc,38.7,1.67,4.51%,37.19,38.7,37.1,3751000,03/02/2020
TPR,Tapestry Inc,23.69,0.24,1.02%,23.51,23.75,22.68,5852900,03/02/2020
TPX,Tempur-Pedic International Inc,77.53,2.78,3.72%,75.27,77.9,73.47,1719600,03/02/2020
TREE,Lendingtree Inc,283.91,8.09,2.93%,277.94,284.3,272.02,165000,03/02/2020
TRGP,Targa Resources,33.91,1.51,4.66%,32.98,33.99,32.1,2976300,03/02/2020
TRIP,Tripadvisor Inc,24.11,0.66,2.81%,23.4,24.12,22.54,4817800,03/02/2020
TRMB,Trimble Navigation,41,1.52,3.85%,39.88,41.05,39.01,1492300,03/02/2020
TRN,Trinity Industries,21,0.65,3.19%,20.43,21.03,19.9,1889100,03/02/2020
TROW,T Rowe Price Group,125.48,7.47,6.33%,118.39,125.67,117.76,2737000,03/02/2020
TRU,Transunion,92.65,3.73,4.19%,89.48,92.9,89.2,1616900,03/02/2020
TRV,The Travelers Companies Inc,127.68,7.87,6.57%,119.81,127.69,119.33,3349900,03/02/2020
TSCO,Tractor Supply Company,91.48,2.97,3.36%,88.5,91.53,87.68,1659700,03/02/2020
TSLA,Tesla Inc,743.62,75.63,11.32%,691,743.69,686.67,20194900,03/02/2020
TSN,Tyson Foods,70.54,2.71,4.00%,68.32,70.56,67.72,3780600,03/02/2020
TTC,Toro Company,75.07,3.64,5.10%,71.87,75.89,70.94,692400,03/02/2020
TTD,Trade Desk Inc,288.11,0.86,0.30%,295.51,297.5,275.02,3032000,03/02/2020
TTWO,Take-Two Interacti,112.06,4.58,4.26%,108.58,112.13,107.92,2321900,03/02/2020
TWLO,Twilio,111.48,-1.16,-1.03%,113.15,114.25,108.01,3218400,03/02/2020
TWO,Two Harbors Investments Corp,14.29,0.74,5.46%,13.72,14.36,13.61,3821300,03/02/2020
TWOU,2U Inc,24.7,1.19,5.06%,23.92,24.75,22.81,1096900,03/02/2020
TWTR,Twitter Inc,35.82,2.62,7.89%,36,36.86,35.14,39914699,03/02/2020
TXN,Texas Instruments,118.97,4.83,4.23%,115.16,119.07,113.32,7207400,03/02/2020
TXT,Textron Inc,41.77,1.17,2.88%,40.84,41.77,39.47,2016500,03/02/2020
TYL,Tyler Technologies,331.66,18.31,5.84%,314.45,332.65,313,567200,03/02/2020
UA,Under Armour Inc Cl C,12.49,0.01,0.08%,12.55,12.63,12.19,6345200,03/02/2020
UAA,Under Armour,14.1,-0.09,-0.63%,14.36,14.37,13.75,11772800,03/02/2020
UAL,United Continental Holdings,61.26,-0.33,-0.54%,61.13,61.27,57.04,13015101,03/02/2020
UBER,Uber Technologies Inc,32.85,-1.02,-3.01%,34.05,34.08,31.74,46662000,03/02/2020
UDR,United Dominion Realty Trust,47.08,2.1,4.67%,45.33,47.22,45.16,2408800,03/02/2020
UFS,Domtar Corp,30.23,1.46,5.07%,29.18,30.26,28.34,1602200,03/02/2020
UGI,Ugi Corp,37.56,1.52,4.22%,36.21,37.56,36.11,1466400,03/02/2020
UHAL,A M E R C O,335.03,12.52,3.88%,328.8,337.9,325.25,83500,03/02/2020
UHS,Universal Health Services,131.82,8.08,6.53%,124.4,132.53,123.32,1050100,03/02/2020
UI,Ubiquiti Networks,139.88,4.22,3.11%,136.55,140.29,134.03,240600,03/02/2020
ULTA,Ulta Beauty Inc,260.99,3.9,1.52%,256.35,261,249.01,1148700,03/02/2020
UMPQ,Umpqua Holdings Corp,16.12,0.73,4.74%,15.37,16.12,15.14,2061400,03/02/2020
UNH,Unitedhealth Group Inc,273.11,18.15,7.12%,257.34,273.24,250.32,8866200,03/02/2020
UNM,Unumprovident Corp,25.04,1.73,7.42%,23.51,25.08,23.04,3963000,03/02/2020
UNP,Union Pacific Corp,160.34,0.53,0.33%,160.59,161.97,155.32,7065000,03/02/2020
UNVR,Univar Inc,17.31,0.32,1.88%,17.07,17.34,16.52,2097100,03/02/2020
UPS,United Parcel Service,92.75,2.26,2.50%,92.05,93.14,89.41,8738700,03/02/2020
URBN,Urban Outfitters Inc,23.02,-0.49,-2.08%,23.59,23.59,22.08,4907200,03/02/2020
URI,United Rentals,135.8,3.32,2.51%,134.52,135.8,127,1979300,03/02/2020
USB,U.S. Bancorp,48.16,1.72,3.70%,46.48,48.16,45.51,12673899,03/02/2020
USFD,US Foods Holding,34.78,1.14,3.39%,33.77,34.87,33.72,2183100,03/02/2020
USM,United States Cellular Corp,31.7,0.29,0.92%,31.58,31.81,30.59,270700,03/02/2020
UTHR,United Therapeutic,103.83,0.87,0.84%,103.15,104.13,99.5,644300,03/02/2020
UTX,United Technologies Corp,134.07,3.48,2.66%,131.5,134.13,128.25,9083600,03/02/2020
V,Visa Inc,192.33,10.57,5.82%,186.32,192.44,183.1,17434400,03/02/2020
VAR,Varian Medical Systems,126.55,3.58,2.91%,123.32,126.56,120.98,711200,03/02/2020
VEEV,Veeva Systems Inc,144.05,2.08,1.47%,142.29,144.48,138.48,1868500,03/02/2020
VER,Vereit Inc,8.89,0.23,2.66%,8.71,8.93,8.56,21874100,03/02/2020
VFC,V.F. Corp,74.65,2.65,3.68%,72.5,74.76,70.76,5197100,03/02/2020
VIAC,Viacomcbs Inc. Cl B,24.31,-0.3,-1.22%,24.75,24.8,23.27,18892199,03/02/2020
VIACA,Viacomcbs Inc. Cl A,29.18,-0.82,-2.73%,29.95,29.95,28.18,149300,03/02/2020
VICI,Vici Properties Inc,24.66,-0.4,-1.60%,25.17,25.32,24.06,6889800,03/02/2020
VIRT,Virtu Financial Cm A,19.67,0.86,4.57%,19.35,19.78,19.08,1790600,03/02/2020
VLO,Valero Energy Corp,67.87,1.62,2.45%,66.97,68.06,63.85,6526300,03/02/2020
VMC,Vulcan Materials Company,125.84,5.58,4.64%,120.68,126.25,119.69,1619500,03/02/2020
VMI,Valmont Industries,118.52,2.3,1.98%,117.34,118.59,113.39,128200,03/02/2020
VMW,Vmware Inc,121.74,1.22,1.01%,120.84,122.77,116.67,3551200,03/02/2020
VNO,Vornado Realty Trust,55.58,2,3.73%,53.94,55.59,53.28,2037700,03/02/2020
VOYA,VOYA Financial Inc,55.79,3.15,5.98%,52.87,55.84,52.51,2796400,03/02/2020
VRSK,Verisk Analytics Inc,163.13,8.02,5.17%,154.92,163.28,154.35,1516200,03/02/2020
VRSN,Verisign Inc,196.85,7.1,3.74%,189.39,196.86,187.09,901700,03/02/2020
VRTX,Vertex Pharmaceutic,232.29,8.26,3.69%,224.13,232.98,223.14,2406500,03/02/2020
VSAT,Viasat Inc,59.02,1.52,2.64%,57.89,59.08,55.5,735400,03/02/2020
VST,Vistra Energy Corp,20.14,0.91,4.73%,19.3,20.24,18.94,8020800,03/02/2020
VTR,Ventas Inc,52.36,-1.41,-2.62%,54,54.33,51.59,7626000,03/02/2020
VVV,Valvoline Inc,19.48,-0.02,-0.10%,19.6,19.66,19.16,4410500,03/02/2020
VZ,Verizon Communications Inc,57.32,3.16,5.83%,55.16,57.54,54.88,30736199,03/02/2020
W,Wayfair Inc,61.77,-1.44,-2.28%,62.99,63.3,55.2,5417400,03/02/2020
WAB,Wabtec Corp,68.37,-0.33,-0.48%,68.83,68.96,66.07,2582500,03/02/2020
WAL,Western Alliance Bancorp,47.49,1.45,3.15%,46.21,47.56,45.61,1011100,03/02/2020
WAT,Waters Corp,202.7,7.81,4.01%,195.28,202.82,191.51,961000,03/02/2020
WBA,Walgreens Boots Alliance,48.11,2.35,5.14%,45.92,48.18,45.47,11247801,03/02/2020
WBC,Wabco Holdings Inc,135.73,0.63,0.47%,135.55,136.01,135.15,1636400,03/02/2020
WBS,Webster Financial Corp,40.56,2.59,6.82%,38.02,40.61,37.59,1439900,03/02/2020
WCC,Wesco International,41.57,1,2.46%,40.94,41.87,39.16,1256200,03/02/2020
WDAY,Workday Inc,172.89,-0.36,-0.21%,174.85,176.37,167.69,3477700,03/02/2020
WDC,Western Digital Cp,60.04,4.48,8.06%,57.35,60.07,56.38,7553300,03/02/2020
WEC,Wisconsin Energy Corp,97.69,5.36,5.81%,92.89,97.72,92.73,2817600,03/02/2020
WELL,Welltower Inc,75.26,0.44,0.59%,75.25,75.74,72.85,5980800,03/02/2020
WEN,Wendys Company,19.62,0.74,3.92%,19.25,19.63,18.41,7431700,03/02/2020
WEX,Wex Inc,193.42,6.18,3.30%,189.53,194.09,182.66,728100,03/02/2020
WFC,Wells Fargo & Company,42.26,1.41,3.45%,40.98,42.28,39.46,44231199,03/02/2020
WH,Wyndham Hotels & Resorts Inc,52.96,2.01,3.95%,50.84,52.97,49.5,1782700,03/02/2020
WHR,Whirlpool Corp,133.87,6.01,4.70%,127.99,133.98,126.66,1481000,03/02/2020
WLK,Westlake Chemical Corp,57.3,1.43,2.56%,56.5,57.36,54.54,851900,03/02/2020
WLTW,Willis Towers WT,199.54,10.29,5.44%,189.71,199.85,189.04,1009800,03/02/2020
WM,Waste Management,117.03,6.22,5.61%,111.84,117.2,111.82,4006600,03/02/2020
WMB,Williams Companies,19.6,0.55,2.89%,19.17,19.6,18.48,21628600,03/02/2020
WMT,Wal-Mart Stores,115.88,8.2,7.62%,107.95,116.4,107.29,17074201,03/02/2020
WPC,W.P. Carey & Co. Llc,81.27,3.86,4.99%,77.82,81.42,77.68,984200,03/02/2020
WPX,Wpx Energy Inc,9.08,-0.25,-2.68%,9.5,9.52,8.74,13645800,03/02/2020
WRB,W.R. Berkley Corp,70.2,3.06,4.56%,67.28,70.21,66.56,1162900,03/02/2020
WRI,Weingarten Realty Investors,27.74,0.81,3.01%,27.08,27.74,26.31,1162300,03/02/2020
WRK,Westrock Company,34.19,0.94,2.83%,33.47,34.22,32.15,3966400,03/02/2020
WSM,Williams-Sonoma,64.6,2.21,3.54%,62.4,64.79,60.76,1300500,03/02/2020
WSO,Watsco Inc,164.3,7.32,4.66%,157.62,164.6,156.13,444700,03/02/2020
WST,West Pharmaceutical Services,156.49,5.93,3.94%,151.54,156.67,150.59,446400,03/02/2020
WTFC,Wintrust Finl Corp,55.79,2.38,4.46%,53.41,55.92,52.67,650100,03/02/2020
WTM,White Mountains Insurance Group,1006,15.9,1.61%,992.31,1008.91,985,20900,03/02/2020
WTRG,Essential Utilities Inc.,45.44,2.43,5.65%,43.2,45.46,43,2057800,03/02/2020
WU,Western Union Company,23.49,1.1,4.91%,22.53,23.5,22.32,9722800,03/02/2020
WWD,Woodward Inc,106.15,2.95,2.86%,103.49,106.3,100.66,728600,03/02/2020
WWE,World Wrestling Entertainment,46.36,-0.41,-0.88%,47,47.1,45.1,2025900,03/02/2020
WY,Weyerhaeuser Company,27.44,1.46,5.62%,26.14,27.44,25.65,6513300,03/02/2020
WYND,Wyndham Destinations Inc,40.86,0.96,2.41%,40.3,40.89,38.55,914200,03/02/2020
WYNN,Wynn Resorts Ltd,107.94,-0.04,-0.04%,107.95,109.41,104.35,4675300,03/02/2020
X,United States Steel Corp,8.27,0.25,3.12%,8.15,8.27,7.82,17369799,03/02/2020
XEC,Cimarex Energy Company,32.72,-0.33,-1.00%,33.63,33.88,31.81,26191801,03/02/2020
XEL,XCEL Energy Inc,65.87,3.55,5.70%,62.22,65.99,62.15,5117700,03/02/2020
XLNX,Xilinx Inc,84.61,1.12,1.34%,83.46,84.71,81.84,4361300,03/02/2020
XOM,Exxon Mobil Corp,53.88,2.44,4.74%,52.59,53.89,51.13,38127602,03/02/2020
XPO,Xpo Logistics Inc,75.99,2.02,2.73%,74.37,76.18,71.34,1739900,03/02/2020
XRAY,Dentsply Sirona Inc,49.65,0.41,0.83%,49.57,50.6,48.2,4040000,03/02/2020
XRX,Xerox Corp,33.51,1.31,4.07%,32.35,33.52,32.06,4163300,03/02/2020
XYL,Xylem Inc,82.29,4.95,6.40%,77.95,82.42,77.5,2012000,03/02/2020
Y,Alleghany Corp,719.72,47.47,7.06%,675.81,722.75,675.81,122700,03/02/2020
YUM,Yum! Brands,92.53,3.28,3.68%,89.25,92.55,89.21,2408900,03/02/2020
YUMC,Yum China Holdings Inc,44.29,0.5,1.14%,43.85,44.29,43.01,3540700,03/02/2020
Z,Zillow Group Cl C,54.4,-1.41,-2.53%,55.84,56.29,51.97,3987100,03/02/2020
ZAYO,Zayo Group Holdings Inc,34.94,-0.05,-0.14%,34.94,34.96,34.92,8341400,03/02/2020
ZBH,Zimmer Biomet Holdings,139.25,3.1,2.28%,136.78,139.28,134.75,1712300,03/02/2020
ZBRA,Zebra Technologies,221.71,10.74,5.09%,212.67,221.87,210.34,603000,03/02/2020
ZEN,Zendesk Inc,78.47,-0.84,-1.06%,79.88,80.98,76.23,2828700,03/02/2020
ZG,Zillow Grp Inc Cl A,54.62,-1.05,-1.89%,55.71,56.13,52.07,1012200,03/02/2020
ZION,Zions Bancorp,41.3,1.35,3.38%,39.74,41.31,38.82,5006600,03/02/2020
ZNGA,Zynga Inc Cl A,6.97,0.26,3.87%,6.84,6.99,6.72,19379600,03/02/2020
ZS,Zscaler Inc,52.78,0.79,1.52%,52.81,53.17,50.91,1990100,03/02/2020
ZTS,Zoetis Inc Cl A,138.91,5.68,4.26%,133.84,139.17,133.06,2881600,03/02/2020
Downloaded from Barchart.com as of 03-03-2020 05:53am CST,,,,,,,,,
